Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/23/2021	23	72	72	74	71	69	71	67
01/24/2021	 0	72	72	71	71	69	71	67
01/24/2021	 1	72	72	75	71	69	71	67
01/24/2021	 2	72	72	75	71	69	71	67
01/24/2021	 3	72	72	74	71	69	71	67
01/24/2021	 4	73	72	72	71	69	71	67
01/24/2021	 5	73	72	75	71	69	71	67
01/24/2021	 6	73	72	74	71	69	71	68
01/24/2021	 7	73	72	73	71	69	71	67
01/24/2021	 8	73	72	75	71	69	71	67
01/24/2021	 9	73	72	74	71	69	71	67
01/24/2021	10	73	72	73	71	69	71	67
01/24/2021	11	73	72	75	71	69	71	67
01/24/2021	12	73	72	74	71	69	71	67
01/24/2021	13	73	72	71	71	69	71	67
01/24/2021	14	73	72	74	71	69	71	67
01/24/2021	15	73	72	74	71	69	71	67
01/24/2021	16	73	72	73	71	69	71	66
01/24/2021	17	73	72	71	71	69	71	67
01/24/2021	18	73	72	72	71	69	71	67
01/24/2021	19	73	72	74	71	69	71	67
01/24/2021	20	73	72	74	71	69	71	67
01/24/2021	21	73	72	71	71	69	71	66
01/24/2021	22	73	72	75	71	69	71	67
01/24/2021	23	73	72	75	71	69	71	67
01/25/2021	 0	73	72	73	71	69	71	67
01/25/2021	 1	73	72	74	71	69	71	67
01/25/2021	 2	73	72	75	71	69	71	68
01/25/2021	 3	73	72	74	71	69	71	67
01/25/2021	 4	73	72	75	71	69	71	67
01/25/2021	 5	73	72	75	71	69	71	67
01/25/2021	 6	73	72	71	71	69	71	67
01/25/2021	 7	73	72	75	71	69	71	67
01/25/2021	 8	73	72	74	71	69	71	67
01/25/2021	 9	73	72	71	71	69	71	67
01/25/2021	10	73	72	73	71	70	71	67
01/25/2021	11	73	72	74	71	69	71	67
01/25/2021	12	73	72	74	71	69	71	67
01/25/2021	13	73	72	71	71	69	71	68
01/25/2021	14	73	72	71	71	69	71	67
01/25/2021	15	73	72	75	71	69	71	68
01/25/2021	16	73	72	74	71	69	71	67
01/25/2021	17	73	72	73	71	69	71	67
01/25/2021	18	73	72	71	71	69	71	68
01/25/2021	19	73	72	74	71	69	71	67
01/25/2021	20	73	72	74	71	69	71	68
01/25/2021	21	73	72	74	71	69	71	67
01/25/2021	22	73	72	71	71	69	71	67
01/25/2021	23	73	72	75	71	69	71	67
01/26/2021	 0	73	72	75	71	69	71	67
01/26/2021	 1	73	72	71	71	69	71	66
01/26/2021	 2	73	72	75	71	69	71	67
